"geometry","country","code","region","who_testing_capacity","owid_testing_capacity","pop_100k","max_new_tests_cap_avg","cap_cum_tests","cum_tpr","dx_testing_capacity","ngs_capacity","sequencing_capacity","total_sequences","submission_count","total_viable_sequences","all_cases","percent_cases_sequenced","sequences_per_capita_per_100k","sars_cov_2_sequencing","cases_newly_reported_in_last_7_days_per_100000_population","world_bank_economies","archetype_full","archetype","label","dx_testing_capacity_clean","sequencing_capacity_clean","sars_cov_2_sequencing_clean","archetype_clean"
NaN,"Monaco","MCO","Europe","1 - Reliable",1,0.39,NaN,0,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",78,78,78,3358,2.32,197.37,"1-499 sequences",35.67,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Mongolia","MNG","Western Pacific","1 - Reliable",1,32.78,NaN,0,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",28,28,22,339536,0.01,0.84,"1-499 sequences",276.49,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Montenegro","MNE","Europe","0 - Unreliable",NaN,6.28,288.77,69922.6114649682,0.315651516462695,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",260,260,260,137769,0.19,41.4,"1-499 sequences",405.69,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Montserrat","MSR","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",5,5,5,0,NaN,100.38,"1-499 sequences",20,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"Morocco","MAR","Eastern Mediterranean","1 - Reliable",1,369.11,101.76,24366.0805721872,0.104825854892345,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",433,484,355,942132,0.05,1.16,"1-499 sequences",9.59,"Lower middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","4+ NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Mozambique","MOZ","Africa","1 - Reliable",0,312.55,15.68,2969.93121100624,0.162817855496137,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",580,580,573,151102,0.38,1.8,"500+ sequences",0.55,"Low income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage"
NaN,"Myanmar","MMR","South-East Asia","1 - Reliable",1,544.1,45.82,8442.70170924462,0.106670172937827,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",74,75,31,487853,0.02,0.14,"1-499 sequences",18.19,"Lower middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Namibia","NAM","Africa","0 - Unreliable",1,25.41,141.67,28823.8488783943,0.175279281936173,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",282,282,20,128328,0.22,10.9,"1-499 sequences",6.81,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Nauru","NRU","Western Pacific","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",0,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"Nepal","NPL","South-East Asia","0 - Unreliable",1,291.37,65.19,14883.5432611456,0.185978336113534,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",271,287,264,805037,0.03,0.91,"1-499 sequences",13.71,"Lower middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Netherlands","NLD","Europe","1 - Reliable",1,171.35,474.07,85917.6247446746,0.142268179189151,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",65107,66337,64853,2087144,3.12,379.12,"500+ sequences",112.85,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"New Caledonia","NCL","Europe","0 - Unreliable",NaN,2.85,67.7,14062.1052631579,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",353.42,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"New Zealand","NZL","Western Pacific","1 - Reliable",1,48.22,426.86,79144.0066362505,0.00136623620007106,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",2572,2806,2572,5056,50.87,52.91,"500+ sequences",7.26,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Nicaragua","NIC","Americas","0 - Unreliable",1,66.25,NaN,0,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,15737,0,0,"0 sequences",6.49,"Lower middle income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Niger","NER","Africa","1 - Reliable",1,242.07,2.52,685.239806667493,0.0373351177988377,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",24,24,23,6170,0.39,0.1,"1-499 sequences",0.31,"Low income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Nigeria","NGA","Africa","1 - Reliable",1,2061.4,52.77,2930.23236635296,0.0346908580766677,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",2734,2769,2623,209298,1.31,1.29,"500+ sequences",0.89,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Niue","NIU","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",0,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Norfolk Island","NFK","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"North Korea","PRK","South-East Asia","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",0,"Low income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"North Korea-South Korea Disputed Boundary","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"North Macedonia","MKD","Europe","1 - Reliable",NaN,20.83,280.8,60370.7153144503,0.157189297682267,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",699,699,695,197091,0.35,33.56,"500+ sequences",100.03,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Northern Mariana Islands","MNP","Western Pacific","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",152,152,NaN,NaN,NaN,NaN,"1-499 sequences",15.64,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"Norway","NOR","Europe","1 - Reliable",1,54.21,481.11,148112.4515772,0.0245982900362378,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",28659,28659,28644,196351,14.6,524.35,"500+ sequences",50.38,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Oman","OMN","Eastern Mediterranean","1 - Reliable",1,51.07,77.59,9985.49050323086,0.596255777425244,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",877,877,537,304054,0.29,16.79,"500+ sequences",2.31,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Pakistan","PAK","Eastern Mediterranean","1 - Reliable",1,2208.92,26.12,9161.00220922442,0.0625720964220012,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",1264,1265,1176,1265047,0.1,0.56,"500+ sequences",3.08,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Palau","PLW","Western Pacific","0 - Unreliable",NaN,0.18,NaN,0,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,8,0,0,"0 sequences",16.58,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"Palestine","PSE","Eastern Mediterranean","0 - Unreliable",1,51.01,242.23,50488.2768084689,0.174353412878042,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",132,132,256,894064,0.01,2.53,"1-499 sequences",105.03,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Panama","PAN","Americas","1 - Reliable",1,43.15,302.19,80853.302433372,0.134829254590377,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",1262,1262,1229,470264,0.27,28.8,"500+ sequences",30.73,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Papua New Guinea","PNG","Western Pacific","0 - Unreliable",1,89.47,11.79,2084.10640438136,0.135982624084949,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",774,1001,774,24041,3.22,8.49,"500+ sequences",23.97,"Lower middle income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Test"
NaN,"Paraguay","PRY","Americas","1 - Reliable",1,71.33,111.74,26146.7264825459,0.246954766799318,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",398,398,396,460322,0.09,5.51,"1-499 sequences",2.24,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Peru","PER","Americas","1 - Reliable",1,329.72,187.53,56111.7887904889,0.118392238678411,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",7616,7619,7591,2190009,0.35,22.83,"500+ sequences",15.79,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Philippines","PHL","Western Pacific","1 - Reliable",1,1095.81,72.12,20278.496272164,0.122932739682807,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",7133,7134,7128,2720368,0.26,6.42,"500+ sequences",61.63,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Pitcairn Islands","PCN","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",0,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Poland","POL","Europe","0 - Unreliable",1,378.47,219.79,54300.2906439084,0.143304537859925,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",22592,22610,22468,2939590,0.77,59.77,"500+ sequences",37.13,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Portugal","PRT","Europe","1 - Reliable",1,101.97,633.68,178482.63214671,0.0593921144728804,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",18498,18499,18495,1079806,1.71,181.93,"500+ sequences",45.15,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Puerto Rico","PRI","Americas","1 - Reliable",1,NaN,NaN,NaN,NaN,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",3175,3178,NaN,NaN,NaN,NaN,"500+ sequences",32.4,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Qatar","QAT","Eastern Mediterranean","1 - Reliable",1,28.81,226.34,96058.9378687956,0.0860280445087152,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",2966,2966,2901,237929,1.25,101.21,"500+ sequences",17.88,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Republic of the Congo","COG","Africa","1 - Reliable",1,55.18,17.51,4384.59586806814,0.0659744897537426,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",261,269,257,15514,1.68,4.61,"1-499 sequences",7.65,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Romania","ROU","Europe","1 - Reliable",1,192.38,299.77,72851.3514918391,0.106047009295588,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",3802,3803,3789,1457260,0.26,19.88,"500+ sequences",498.12,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Russia","RUS","Europe","1 - Reliable",1,1459.34,366.36,136582.116573245,0.0398194266211838,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",8368,8384,7745,7870529,0.11,5.73,"500+ sequences",139.01,"Upper middle income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Rwanda","RWA","Africa","1 - Reliable",1,129.52,118.94,23197.0506485485,0.0330216656315465,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",650,650,634,99145,0.66,4.9,"500+ sequences",5.52,"Low income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage"
NaN,"S√£o Tom√© and Pr√≠ncipe","STP","Africa","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,3677,0,0,"0 sequences",29.66,"Lower middle income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Saint-Barth√©lemy","BLM","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",9,9,9,0,NaN,NaN,"1-499 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"Saint Helena","SHN","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",0,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Saint Kitts and Nevis","KNA","Americas","0 - Unreliable",NaN,0.53,482.26,69060.3773584906,0.0703240260095077,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",13,13,13,2550,0.51,24.28,"1-499 sequences",738.83,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Saint Lucia","LCA","Americas","0 - Unreliable",NaN,1.84,143.13,32502.7173913043,0.205334002173731,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",43,43,43,12228,0.35,23.32,"1-499 sequences",178.08,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Saint Martin","MAF","Americas","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,10,NaN,NaN,NaN,NaN,"1-499 sequences",152.62,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"Saint Pierre and Miquelon","SPM","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",0,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Saint Vincent and the Grenadines","VCT","Americas","0 - Unreliable",NaN,1.11,224.98,50568.4684684685,0.0826103222818051,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",15,15,15,4623,0.32,13.48,"1-499 sequences",89.24,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Samoa","WSM","Western Pacific","0 - Unreliable",NaN,1.98,NaN,0,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,3,0,0,"0 sequences",0,"Upper middle income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"San Marino","SMR","Europe","1 - Reliable",1,0.34,1637.06,262491.176470588,0.0613914193194169,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,5473,0,0,"0 sequences",17.68,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Saudi Arabia","SAU","Eastern Mediterranean","1 - Reliable",1,348.14,291.72,85716.6628367898,0.0183643534942849,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",1096,1096,1096,547931,0.2,3.1,"500+ sequences",1.03,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Senegal","SEN","Africa","1 - Reliable",1,167.44,19.31,4986.83707596751,0.0884734777172585,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",620,621,609,73866,0.84,3.61,"500+ sequences",0.19,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Serbia","SRB","Europe","1 - Reliable",1,87.37,212.91,61447.7738354126,0.197992360150294,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",330,330,325,1048835,0.03,4.78,"1-499 sequences",623.21,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Seychelles","SYC","Africa","1 - Reliable",1,0.98,338.74,21942.8571428571,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",259,259,259,21854,1.19,261.85,"1-499 sequences",151.5,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Sierra Leone","SLE","Africa","0 - Unreliable",1,79.77,10.27,2864.43525134762,0.0279961137175268,"Unreliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",51,51,51,6396,0.8,0.63,"1-499 sequences",0,"Low income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"Singapore","SGP","Western Pacific","1 - Reliable",1,58.5,1278.43,326635.811965812,0.00809731112750315,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",8360,8361,8331,148178,5.64,141.77,"500+ sequences",376.29,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Sint Maarten (Dutch part)","SXM","Americas","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",1637,1637,1637,0,NaN,NaN,"500+ sequences",151.58,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"Slovakia","SVK","Europe","1 - Reliable",1,54.6,17251.35,761266.684981685,0.0105794128885968,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",8212,8212,8203,437385,1.88,NaN,"500+ sequences",198.48,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Slovenia","SVN","Europe","1 - Reliable",1,20.79,3345.26,345071.524771525,0.0432350711321952,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",29073,29077,28977,308136,9.44,1398.6,"500+ sequences",272.58,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Solomon Islands","SLB","Western Pacific","1 - Reliable",1,NaN,NaN,NaN,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",6,6,6,20,30,0.85,"1-499 sequences",0,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Somalia","SOM","Eastern Mediterranean","0 - Unreliable",1,158.93,7.47,1517.17108160826,0.0882077271445397,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",35,37,35,21269,0.16,0.21,"1-499 sequences",2.32,"Low income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"South Africa","ZAF","Africa","1 - Reliable",1,593.09,101.95,30668.6556846347,0.160383265455414,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",20997,21057,20969,2916593,0.72,34.97,"500+ sequences",8.62,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"South Georgia and the South Sandwich Islands","SGS","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"South Korea","KOR","Western Pacific","1 - Reliable",1,512.69,95.55,29929.8445454368,0.0225541899330663,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",16017,16018,11456,343444,4.66,31.22,"500+ sequences",23.17,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"South Sudan","SSD","Africa","1 - Reliable",1,111.94,14.4,2428.15794175451,0.0450685778196374,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",88,89,88,12184,0.72,0.77,"1-499 sequences",0.64,"Low income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Spain","ESP","Europe","1 - Reliable",1,467.55,555.57,131239.43107689,0.0813345174514442,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",70371,70396,68726,4984386,1.41,150.54,"500+ sequences",18.02,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Sri Lanka","LKA","South-East Asia","1 - Reliable",1,214.13,71.64,11136.9028160463,0.223405856810686,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",1524,1525,1524,531648,0.29,7.09,"500+ sequences",25.83,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Sudan","SDN","Eastern Mediterranean","0 - Unreliable",1,438.49,5.39,671.917261511095,0.135217510835661,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",111,116,110,39550,0.28,0.25,"1-499 sequences",1.57,"Low income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"Suriname","SUR","Americas","1 - Reliable",1,5.87,NaN,0,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",750,750,742,46447,1.61,126.73,"500+ sequences",373.66,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage"
NaN,"Sweden","SWE","Europe","1 - Reliable",1,100.99,476.54,93694.3756807605,0.122973052235766,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",109674,109680,109663,1161933,9.44,1079.45,"500+ sequences",41.06,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Switzerland","CHE","Europe","1 - Reliable",1,86.55,424.07,131722.634315425,0.075276604008528,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",73094,73146,72603,854591,8.55,838.67,"500+ sequences",55.07,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Syria","SYR","Eastern Mediterranean","0 - Unreliable",1,175.01,NaN,0,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,39086,0,0,"0 sequences",10.83,"Low income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Taiwan","TWN","Western Pacific","1 - Reliable",1,238.17,215.97,29613.5869337028,0.00231714765829565,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",256,256,111,16336,1.57,1.07,"1-499 sequences",NaN,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Leverage"
NaN,"Tajikistan","TJK","Europe","0 - Unreliable",1,95.38,NaN,7.33906479345775,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,17484,0,0,"0 sequences",0,"Low income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Tanzania","TZA","Africa","1 - Reliable",1,597.34,3.74,497.48719322329,0.087606715370715,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,26034,0,0,"0 sequences",0.13,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect"
NaN,"Thailand","THA","South-East Asia","1 - Reliable",1,698,69.69,8759.15042979943,0.294891613142343,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",4779,4795,4137,1783697,0.27,6.83,"500+ sequences",105.17,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
