"name","code","population_size","sequencing_capacity","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","dx_testing_capacity","Date tests last reported","Days since tests were reported","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_sequencing","ngs_capacity","facility_access","cases_per_100k_last_7_days","old_archetype","archetype_orig","archetype_orig_w_HICs","archetype_new","Archetype","archetype_full_new","Archetype*","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","Cases in the last 7 days"
"Moldova","MDA",4024025,"0 NGS facilities or equivalent",0.178494945689103,0.944508487670749,"Insufficient data","June 13, 2021",205,0.06,3.628,"Insufficient sequencing capacity",0,"No NGS facilities",60.4,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","17.8 %","0.94 per 1000 persons","0.06 %","3.6 per 100k persons","60.4 per 100k persons"
"Monaco","MCO",39520,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,2.09,215.081,"Sufficient sequencing capacity",0,"No NGS facilities",242.9,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","2.09 %","215.1 per 100k persons","242.9 per 100k persons"
"Mongolia","MNG",3329282,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0.06,7.389,"Insufficient sequencing capacity",0,"No NGS facilities",70,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0.06 %","7.4 per 100k persons","70 per 100k persons"
"Montenegro","MNE",628051,"0 NGS facilities or equivalent",0.254262533599665,1.88806011844899,"Insufficient data","June 21, 2021",197,0.37,74.835,"Sufficient sequencing capacity",0,"No NGS facilities",1971.3,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","25.4 %","1.89 per 1000 persons","0.37 %","74.8 per 100k persons","1971.3 per 100k persons"
"Morocco","MAR",37344787,"4+ NGS facilities or equivalent",0.0971442312872202,0.400949859770058,"Reliable testing capacity","January 03, 2022",1,0.06,0.892,"Insufficient sequencing capacity",2,"1 or more NGS facilities",38.5,"Leverage","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","9.7 %","0.4 per 1000 persons","0.06 %","0.9 per 100k persons","38.5 per 100k persons"
"Mozambique","MOZ",32163045,"0 NGS facilities or equivalent",0.208050083557922,0.0719130089870552,"Unreliable testing capacity","January 03, 2022",1,0.44,2.397,"Insufficient sequencing capacity",0,"No NGS facilities",64.4,"Leverage","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","20.8 %","0.07 per 1000 persons","0.44 %","2.4 per 100k persons","64.4 per 100k persons"
"Myanmar","MMR",54806014,"1-3 NGS facilities or equivalent",0.0960356261422769,0.212776207032853,"Reliable testing capacity","December 21, 2021",14,0.01,0.084,"Insufficient sequencing capacity",1,"1 or more NGS facilities",2.4,"Leverage","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","9.6 %","0.21 per 1000 persons","0.01 %","0.1 per 100k persons","2.4 per 100k persons"
"Namibia","NAM",2587344,"0 NGS facilities or equivalent",0.188467833312351,0.710828980069329,"Unreliable testing capacity","January 03, 2022",1,0.1,4.909,"Insufficient sequencing capacity",0,"No NGS facilities",142.5,"Connect","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","18.8 %","0.71 per 1000 persons","0.1 %","4.9 per 100k persons","142.5 per 100k persons"
"Nauru","NRU",-Inf,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",0,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NaN %","Insufficient Data","0 per 100k persons"
"Nepal","NPL",29674920,"1-3 NGS facilities or equivalent",0.193643991060402,0.275704900937987,"Unreliable testing capacity","January 04, 2022",0,0.15,2.932,"Insufficient sequencing capacity",1,"1 or more NGS facilities",6.3,"Leverage","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","19.4 %","0.28 per 1000 persons","0.15 %","2.9 per 100k persons","6.3 per 100k persons"
"Netherlands","NLD",17173094,"4+ NGS facilities or equivalent",0.123649521089855,3.08398095702539,"Reliable testing capacity","January 04, 2022",0,3.36,465.03,"Sufficient sequencing capacity",2,"1 or more NGS facilities",664.1,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","12.4 %","3.08 per 1000 persons","3.36 %","465 per 100k persons","664.1 per 100k persons"
"New Caledonia","NCL",288217,"0 NGS facilities or equivalent",0,0.329937293031776,"Insufficient data","September 07, 2021",119,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",94.7,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","0 %","0.33 per 1000 persons","0 %","0 per 100k persons","94.7 per 100k persons"
"New Zealand","NZL",5122600,"4+ NGS facilities or equivalent",0.0028919246447064,2.37235728936439,"Reliable testing capacity","January 04, 2022",0,36.11,86.128,"Sufficient sequencing capacity",2,"1 or more NGS facilities",8.2,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","0.3 %","2.37 per 1000 persons","36.11 %","86.1 per 100k persons","8.2 per 100k persons"
"Nicaragua","NIC",6702379,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",0.6,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","0.6 per 100k persons"
"Niger","NER",25130810,"0 NGS facilities or equivalent",0.0288422036803559,0.0159788490932375,"Reliable testing capacity","January 03, 2022",1,1.94,0.318,"Sufficient sequencing capacity",0,"No NGS facilities",1.1,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","2.9 %","0.02 per 1000 persons","1.94 %","0.3 per 100k persons","1.1 per 100k persons"
"Nigeria","NGA",211400704,"4+ NGS facilities or equivalent",0.0531104005326237,0.0385674983486419,"Reliable testing capacity","December 29, 2021",6,2.17,1.569,"Sufficient sequencing capacity",2,"1 or more NGS facilities",2.6,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","5.3 %","0.04 per 1000 persons","2.17 %","1.6 per 100k persons","2.6 per 100k persons"
"North Korea","PRK",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",NaN,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"North Macedonia","MKD",2082661,"1-3 NGS facilities or equivalent",0.119266317061841,1.56582247680177,"Reliable testing capacity","December 17, 2021",18,0.39,26.697,"Insufficient sequencing capacity",1,"1 or more NGS facilities",164.6,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","11.9 %","1.57 per 1000 persons","0.39 %","26.7 per 100k persons","164.6 per 100k persons"
"Northern Mariana Islands","MNP",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",NaN,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Norway","NOR",5465629,"4+ NGS facilities or equivalent",0.0529785902411048,3.32046506103863,"Reliable testing capacity","January 04, 2022",0,10.04,663.565,"Sufficient sequencing capacity",2,"1 or more NGS facilities",543.1,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","5.3 %","3.32 per 1000 persons","10.04 %","663.6 per 100k persons","543.1 per 100k persons"
"Oman","OMN",5223376,"4+ NGS facilities or equivalent",0.851618767918327,0.133346387311533,"Insufficient data","May 28, 2021",221,0.17,5.59,"Insufficient sequencing capacity",2,"1 or more NGS facilities",18.9,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","85.2 %","0.13 per 1000 persons","0.17 %","5.6 per 100k persons","18.9 per 100k persons"
"Pakistan","PAK",225199929,"4+ NGS facilities or equivalent",0.0487709245833812,0.206626135278655,"Reliable testing capacity","December 30, 2021",5,0.18,0.643,"Insufficient sequencing capacity",2,"1 or more NGS facilities",1.9,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","4.9 %","0.21 per 1000 persons","0.18 %","0.6 per 100k persons","1.9 per 100k persons"
"Palau","PLW",18174,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,25,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",0,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","25 %","Insufficient Data","0 per 100k persons"
"Palestine","PSE",5222756,"0 NGS facilities or equivalent",0.168106603592908,1.05726730992849,"Reliable testing capacity","December 30, 2021",5,0.01,0.67,"Insufficient sequencing capacity",0,"No NGS facilities",31.4,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","16.8 %","1.06 per 1000 persons","0.01 %","0.7 per 100k persons","31.4 per 100k persons"
"Panama","PAN",4381583,"4+ NGS facilities or equivalent",0.0769448934188691,2.0069439566175,"Reliable testing capacity","December 20, 2021",15,0.23,12.644,"Insufficient sequencing capacity",2,"1 or more NGS facilities",238.6,"High Income*","High Income*","Leverage","High Income*","High Income*","High Income*","Leverage - Leverage existing NGS capacity","7.7 %","2.01 per 1000 persons","0.23 %","12.6 per 100k persons","238.6 per 100k persons"
"Papua New Guinea","PNG",9119005,"0 NGS facilities or equivalent",0.16307976587912,0.0709032749757974,"Unreliable testing capacity","November 28, 2021",37,9.01,34.982,"Sufficient sequencing capacity",0,"No NGS facilities",0.7,"Test","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","16.3 %","0.07 per 1000 persons","9.01 %","35 per 100k persons","0.7 per 100k persons"
"Paraguay","PRY",7219641,"0 NGS facilities or equivalent",0.232017463930237,0.594350395326372,"Unreliable testing capacity","December 20, 2021",15,0.22,11.012,"Insufficient sequencing capacity",0,"No NGS facilities",67.8,"Connect","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","23.2 %","0.59 per 1000 persons","0.22 %","11 per 100k persons","67.8 per 100k persons"
"Peru","PER",33359415,"4+ NGS facilities or equivalent",0.077390265100166,1.37931902369632,"Reliable testing capacity","December 17, 2021",18,0.88,33.876,"Sufficient sequencing capacity",2,"1 or more NGS facilities",79.1,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","7.7 %","1.38 per 1000 persons","0.88 %","33.9 per 100k persons","79.1 per 100k persons"
"Philippines","PHL",111046910,"1-3 NGS facilities or equivalent",0.126056282564093,0.470774468076595,"Reliable testing capacity","December 21, 2021",14,0.49,10.458,"Insufficient sequencing capacity",1,"1 or more NGS facilities",19.8,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","12.6 %","0.47 per 1000 persons","0.49 %","10.5 per 100k persons","19.8 per 100k persons"
"Poland","POL",37797000,"4+ NGS facilities or equivalent",0.139728099206599,1.4301743167342,"Reliable testing capacity","December 20, 2021",15,1.43,106.585,"Sufficient sequencing capacity",2,"1 or more NGS facilities",213.8,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","14 %","1.43 per 1000 persons","1.43 %","106.6 per 100k persons","213.8 per 100k persons"
"Portugal","PRT",10167923,"4+ NGS facilities or equivalent",0.0467322096537765,5.65693616575383,"Reliable testing capacity","January 04, 2022",0,2.15,217.055,"Sufficient sequencing capacity",2,"1 or more NGS facilities",1545.2,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","4.7 %","5.66 per 1000 persons","2.15 %","217.1 per 100k persons","1545.2 per 100k persons"
"Puerto Rico","PRI",NaN,"1-3 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",1,"1 or more NGS facilities",NaN,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Qatar","QAT",2930524,"4+ NGS facilities or equivalent",0.0556165316097282,1.84115770304261,"Reliable testing capacity","January 04, 2022",0,2.47,93.123,"Sufficient sequencing capacity",2,"1 or more NGS facilities",219.4,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","5.6 %","1.84 per 1000 persons","2.47 %","93.1 per 100k persons","219.4 per 100k persons"
"Republic of the Congo","COG",5657017,"0 NGS facilities or equivalent",0.0552878759728329,0.120256495553779,"Reliable testing capacity","January 03, 2022",1,2.91,7.301,"Sufficient sequencing capacity",0,"No NGS facilities",21,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","5.5 %","0.12 per 1000 persons","2.91 %","7.3 per 100k persons","21 per 100k persons"
"Romania","ROU",19127772,"1-3 NGS facilities or equivalent",0.09562942524414,1.75145281812395,"Reliable testing capacity","January 04, 2022",0,0.66,40.533,"Sufficient sequencing capacity",1,"1 or more NGS facilities",65.4,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","9.6 %","1.75 per 1000 persons","0.66 %","40.5 per 100k persons","65.4 per 100k persons"
"Russia","RUS",145912022,"4+ NGS facilities or equivalent",0.0475541440877996,2.82095074528433,"Reliable testing capacity","December 20, 2021",15,0.13,6.163,"Insufficient sequencing capacity",2,"1 or more NGS facilities",90.5,"High Income*","High Income*","Leverage","High Income*","High Income*","High Income*","Leverage - Leverage existing NGS capacity","4.8 %","2.82 per 1000 persons","0.13 %","6.2 per 100k persons","90.5 per 100k persons"
"Rwanda","RWA",13276517,"0 NGS facilities or equivalent",0.03208051565904,0.686660969480569,"Reliable testing capacity","January 03, 2022",1,0.44,3.548,"Insufficient sequencing capacity",0,"No NGS facilities",68.3,"Leverage","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","3.2 %","0.69 per 1000 persons","0.44 %","3.5 per 100k persons","68.3 per 100k persons"
"Saint Kitts and Nevis","KNA",53546,"0 NGS facilities or equivalent",0.0566313227881106,2.07151087426185,"Reliable testing capacity","September 20, 2021",106,0.85,52.291,"Sufficient sequencing capacity",0,"No NGS facilities",851.6,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","5.7 %","2.07 per 1000 persons","0.85 %","52.3 per 100k persons","851.6 per 100k persons"
"Saint Lucia","LCA",184401,"0 NGS facilities or equivalent",0.149514519413598,1.32342167957117,"Reliable testing capacity","January 04, 2022",0,0.64,46.637,"Sufficient sequencing capacity",0,"No NGS facilities",284.2,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","15 %","1.32 per 1000 persons","0.64 %","46.6 per 100k persons","284.2 per 100k persons"
"Saint Vincent and the Grenadines","VCT",111269,"0 NGS facilities or equivalent",0.0609706949162301,1.6825535212632,"Insufficient data","July 06, 2021",182,1.24,65.607,"Sufficient sequencing capacity",0,"No NGS facilities",133,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","6.1 %","1.68 per 1000 persons","1.24 %","65.6 per 100k persons","133 per 100k persons"
"Samoa","WSM",200144,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","0 per 100k persons"
"San Marino","SMR",34010,"0 NGS facilities or equivalent",0.0777556289884544,6.02312651087832,"Reliable testing capacity","December 16, 2021",19,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",3013.8,"High Income*","High Income*","Connect","High Income*","High Income*","High Income*","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","7.8 %","6.02 per 1000 persons","0 %","0 per 100k persons","3013.8 per 100k persons"
"São Tomé and Príncipe","STP",223364,"0 NGS facilities or equivalent",0.145166163141994,0.248451867142053,"Reliable testing capacity","December 29, 2021",6,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",98.5,"Test","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","14.5 %","0.25 per 1000 persons","0 %","0 per 100k persons","98.5 per 100k persons"
"Saudi Arabia","SAU",35340680,"4+ NGS facilities or equivalent",0.00874820499447939,1.75279131132098,"Reliable testing capacity","January 04, 2022",0,0.09,0.526,"Insufficient sequencing capacity",2,"1 or more NGS facilities",24.1,"High Income*","High Income*","Leverage","High Income*","High Income*","High Income*","Leverage - Leverage existing NGS capacity","0.9 %","1.75 per 1000 persons","0.09 %","0.5 per 100k persons","24.1 per 100k persons"
"Senegal","SEN",17196308,"1-3 NGS facilities or equivalent",0.0873462165134413,0.105042575054487,"Reliable testing capacity","January 03, 2022",1,4.37,14.346,"Sufficient sequencing capacity",1,"1 or more NGS facilities",10,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","8.7 %","0.11 per 1000 persons","4.37 %","14.3 per 100k persons","10 per 100k persons"
"Serbia","SRB",6871547,"1-3 NGS facilities or equivalent",0.194297075130583,1.55278684103662,"Reliable testing capacity","January 04, 2022",0,0.02,3.114,"Insufficient sequencing capacity",1,"1 or more NGS facilities",254,"Leverage","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","19.4 %","1.55 per 1000 persons","0.02 %","3.1 per 100k persons","254 per 100k persons"
"Seychelles","SYC",98910,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","December 21, 2020",379,2.93,749.166,"Sufficient sequencing capacity",0,"No NGS facilities",1171.8,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","2.93 %","749.2 per 100k persons","1171.8 per 100k persons"
"Sierra Leone","SLE",8141343,"1-3 NGS facilities or equivalent",0.0246653349960822,0.0622426462380714,"Reliable testing capacity","November 29, 2021",36,0.83,0.467,"Sufficient sequencing capacity",1,"1 or more NGS facilities",5.5,"Test","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","2.5 %","0.06 per 1000 persons","0.83 %","0.5 per 100k persons","5.5 per 100k persons"
"Singapore","SGP",5453600,"4+ NGS facilities or equivalent",0.00148840346130228,8.9428022444053,"Reliable testing capacity","September 20, 2021",106,4.48,182.943,"Sufficient sequencing capacity",2,"1 or more NGS facilities",58.4,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","0.1 %","8.94 per 1000 persons","4.48 %","182.9 per 100k persons","58.4 per 100k persons"
"Sint Maarten (Dutch part)","SXM",43421,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,Inf,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",0,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","Inf %","Insufficient Data","0 per 100k persons"
"Slovakia","SVK",5460726,"1-3 NGS facilities or equivalent",0.0128201386975396,28.0513638397226,"Reliable testing capacity","September 20, 2021",106,1.62,323.071,"Sufficient sequencing capacity",1,"1 or more NGS facilities",439.7,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","1.3 %","28.05 per 1000 persons","1.62 %","323.1 per 100k persons","439.7 per 100k persons"
"Slovenia","SVN",2078723,"4+ NGS facilities or equivalent",0.0291628052188876,15.4867039606766,"Reliable testing capacity","January 04, 2022",0,11.64,1932.1,"Sufficient sequencing capacity",2,"1 or more NGS facilities",596.1,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","2.9 %","15.49 per 1000 persons","11.64 %","1932.1 per 100k persons","596.1 per 100k persons"
"Solomon Islands","SLB",703995,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,14.29,0.142,"Sufficient sequencing capacity",0,"No NGS facilities",0.3,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","14.29 %","0.1 per 100k persons","0.3 per 100k persons"
"Somalia","SOM",16359500,"0 NGS facilities or equivalent",0.0563549376062849,0.0575782049304036,"Reliable testing capacity","December 22, 2021",13,0.06,0.067,"Insufficient sequencing capacity",0,"No NGS facilities",0,"Test","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","5.6 %","0.06 per 1000 persons","0.06 %","0.1 per 100k persons","0 per 100k persons"
"South Africa","ZAF",60041996,"4+ NGS facilities or equivalent",0.164214645859761,0.672851333288833,"Unreliable testing capacity","January 03, 2022",1,0.84,32.755,"Sufficient sequencing capacity",2,"1 or more NGS facilities",98.4,"Strengthen","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","16.4 %","0.67 per 1000 persons","0.84 %","32.8 per 100k persons","98.4 per 100k persons"
"South Korea","KOR",51305184,"4+ NGS facilities or equivalent",0.0263611438916669,0.742570266310994,"Reliable testing capacity","October 31, 2021",65,3.34,38.082,"Sufficient sequencing capacity",2,"1 or more NGS facilities",56,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","2.6 %","0.74 per 1000 persons","3.34 %","38.1 per 100k persons","56 per 100k persons"
"South Sudan","SSD",11381377,"0 NGS facilities or equivalent",0.051124424083428,0.0562559198788,"Reliable testing capacity","January 03, 2022",1,0.72,0.764,"Sufficient sequencing capacity",0,"No NGS facilities",7.8,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","5.1 %","0.06 per 1000 persons","0.72 %","0.8 per 100k persons","7.8 per 100k persons"
"Spain","ESP",46745211,"4+ NGS facilities or equivalent",0.0781737920993796,2.7640565129751,"Reliable testing capacity","November 15, 2021",50,1.49,153.622,"Sufficient sequencing capacity",2,"1 or more NGS facilities",1610.8,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","7.8 %","2.76 per 1000 persons","1.49 %","153.6 per 100k persons","1610.8 per 100k persons"
"Sri Lanka","LKA",21497306,"1-3 NGS facilities or equivalent",0.124246502045177,0.352632174458406,"Insufficient data","May 30, 2021",219,0.41,10.466,"Insufficient sequencing capacity",1,"1 or more NGS facilities",20.2,"Strengthen","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","12.4 %","0.35 per 1000 persons","0.41 %","10.5 per 100k persons","20.2 per 100k persons"
"Saint Martin","MAF",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",NaN,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Sudan","SDN",44909351,"0 NGS facilities or equivalent",0.0363825722136322,0.0309786145842097,"Reliable testing capacity","October 27, 2021",69,0.38,0.176,"Insufficient sequencing capacity",0,"No NGS facilities",2.2,"Test","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","3.6 %","0.03 per 1000 persons","0.38 %","0.2 per 100k persons","2.2 per 100k persons"
"Suriname","SUR",591798,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,1.71,138.561,"Sufficient sequencing capacity",0,"No NGS facilities",451,"Leverage","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","1.71 %","138.6 per 100k persons","451 per 100k persons"
"Sweden","SWE",10160159,"4+ NGS facilities or equivalent",0.106268386803319,4.18514074998599,"Insufficient data","May 10, 2021",239,14.81,1341.751,"Sufficient sequencing capacity",2,"1 or more NGS facilities",622,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","10.6 %","4.19 per 1000 persons","14.81 %","1341.8 per 100k persons","622 per 100k persons"
