"name","code","region","ngs_capacity","facility_access","who_testing_capacity","sequencing_capacity","cum_tests_per_100k","cum_tpr","total_tests","date_tests_last_reported","rept_tests_within_last_6_months","days_since_tests_reported","tests_in_last_year_raw","cases_in_last_year_raw","tests_in_last_year_sum_avg","cases_in_last_year_sum_avg","tests_in_last_year_smoothed","cases_in_last_year_smoothed","cases_in_last_year_smoothed_truncated","avg_tpr_find","tpr_year_raw","tpr_year_smoothed","tpr_year_smoothed_truncated","avg_daily_test_per_1000_last_year_raw","avg_daily_tests_per_1000_last_year_smoothed","dx_testing_capacity","cases_in_last_90_days","sequences_in_last_90_days","population_size","cases_per_100k_last_90_days","percent_of_cases_sequenced_last_90_days","per_capita_seq_rate_in_last_90_days","max_prevalence_variant_pct","cases_in_last_7_days","cases_per_100k_last_7_days","cases_in_last_year","sequences_in_last_year","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","country","old_test_archetype","old_sequencing_archetype","old_archetype","world_bank_economies","sars_cov_2_sequencing","archetype_orig","archetype_orig_w_HICs","archetype_new"
"Jamaica","JAM","Americas",0,"No NGS facilities",1,"0 NGS facilities or equivalent",23653.0563998649,0.137543602140021,700367,2021-12-26,TRUE,9,567120,83128,563228.52,81503.15,560723,81725,79710,0.13610123785858,0.146579207222457,0.145749327207908,0.142155752483847,0.524739420688124,0.527491559258287,"Reliable testing capacity",11070,14,2973462,372.293306590096,0.12646793134598,0.470831643384042,19.2636175650135,3381,113.7,83128,429,0.52,14.428,"Jamaica","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Japan","JPN","Western Pacific",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",22283.5344255037,0.0615630030568077,28183323,2021-12-21,TRUE,14,23551778,1486465,23167047.2,1482186.02,22935895,1494465,1490941,0.0564149824068621,0.063114767810736,0.0651583467747825,0.0650047011463908,0.510179157927846,0.512276351575065,"Reliable testing capacity",23621,2525,126050796,18.7392707936569,10.6896405740655,2.00316069404274,0.118572509500692,4002,3.2,1486465,158488,10.66,125.733,"Japan","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Jordan","JOR","Eastern Mediterranean",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",131497.196902872,0.0797179834413322,13416659,2021-12-27,TRUE,8,10890667,769718,10660585.02,764632.6,10193532,768819,759772,0.0677975948430812,0.0706768465145431,0.0754222383370161,0.0745347147583389,2.9243794801153,2.77520010454442,"Reliable testing capacity",218065,229,10269022,2123.52257108807,0.105014559878935,2.23000788195799,1.29966054766607,0,0,748122,649,0.09,6.32,"Jordan","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Kazakhstan","KAZ","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",60052.2873728498,0.0952276770044177,11276018,2021-05-28,FALSE,221,6404266,928871,6404266.11,927805.01,6349694,946617,236180,0.0527038420325264,0.14503941591433,0.149080727354736,0.0371954932001448,0.934437569716959,2.30043123389847,"Insufficient data",98845,60,18994958,520.374933179636,0.060701097678183,0.315873296482151,4.87029133100975,2754,14.5,869496,399,0.05,2.101,"Kazakhstan","Reliable testing capacity","1-499 sequences","Leverage","Upper middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Kenya","KEN","Africa",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",5664.59801751874,0.0991933119516624,3036982,2022-01-03,TRUE,1,1985998,205226,1960708.89,199212.35,1971923,199697,199697,0.0901593450250183,0.103336458546283,0.101270181442176,0.101270181442176,0.101190054322198,0.100472908577547,"Reliable testing capacity",51624,495,54985702,93.8862251863221,0.958856345885635,0.900234028111526,0.603370802150482,16480,30,205226,3925,1.91,7.138,"Kenya","Reliable testing capacity","500+ sequences","Strengthen","Lower middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Kiribati","KIR","Western Pacific",0,"No NGS facilities",1,"0 NGS facilities or equivalent",0,Inf,0,NaN,NaN,NaN,0,2,0,2,0,0,0,NaN,Inf,NaN,NaN,NaN,NaN,"Insufficient data",0,0,121388,0,NaN,0,100,0,0,2,0,0,NaN,"Kiribati","Reliable testing capacity","0 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Kosovo","XKX","Europe",0,"No NGS facilities",0,"0 NGS facilities or equivalent",0,-Inf,1375719,2021-12-30,TRUE,5,1187581,0,1186446.04,0,1202859,0,0,NaN,0,0,0,NaN,NaN,"Insufficient data",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Kosovo","Reliable testing capacity","500+ sequences","Leverage","Upper middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Kuwait","KWT","Eastern Mediterranean",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",138636.993678295,0.0710661681629322,5921186,2021-12-29,TRUE,6,5921186,269081,4751970.77,266223.48,5602500,267150,261864,0.0713650235978035,0.0454437675154944,0.0476840696117805,0.046740562248996,3.86175469855976,3.71601611235402,"Reliable testing capacity",8861,57,4328553,204.710442496603,0.643268254147387,1.31683728950529,5.11994836770392,5118,118.2,269081,316,0.12,7.3,"Kuwait","High Income*","1-499 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Leverage","High Income*"
"Kyrgyzstan","KGZ","Europe",0,"No NGS facilities",0,"0 NGS facilities or equivalent",46790.2053954629,0.0605645757557591,3052593,2021-06-23,FALSE,195,2483508,103491,2483508.02,103287.74,2467170,103631,36245,0.027280328907364,0.0416712972134577,0.042003996481799,0.014690921176895,1.04293861233129,2.18594394020478,"Insufficient data",5947,0,6628347,89.7207101559408,0,0,100,327,4.9,103491,0,0,0,"Kyrgyzstan","Reliable testing capacity","0 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Laos","LAO","Western Pacific",0,"No NGS facilities",1,"0 NGS facilities or equivalent",4192.04233095107,0.373593912390619,305013,2021-07-06,FALSE,182,211809,113910,213174.74,111691.78,212725,111682,2311,0.00629808426048346,0.537795844369219,0.525006463744271,0.0108637912798214,0.0797551718165182,0.157185650865713,"Insufficient data",87489,0,7379358,1185.59094165102,0,0,100,6211,84.2,113910,0,0,0,"Laos","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Latvia","LVA","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",295788.335100742,0.0500701972262416,5578568,2022-01-04,TRUE,0,4683649,236202,4669630.06,233217.02,4684283,235791,235791,0.0512109632913129,0.0504311915773364,0.050336625690634,0.050336625690634,6.8037725707811,6.80469356033644,"Reliable testing capacity",114519,17,1866934,6134.06794241253,0.0148446982596774,0.910583877094745,16.156611126074,6368,341.1,236202,7096,3,380.088,"Latvia","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Lebanon","LBN","Eastern Mediterranean",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",69324.1904761905,0.156574746965788,4731376,2021-06-23,FALSE,195,2676803,548675,2771614.37,537019.83,2713837,546420,360108,0.126674983874304,0.204973993229984,0.201345917238213,0.13269330471948,1.07453580209745,2.29844968133985,"Insufficient data",113092,4,6769151,1670.69696037214,0.00353694337353659,0.0590916054317595,52.7129195498412,24864,367.3,548675,980,0.18,14.477,"Lebanon","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Lesotho","LSO","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",16194.2110177404,0.0864823570110701,345254,2022-01-03,TRUE,1,314768,26793,298048.16,25699.92,297037,26057,26057,0.133675524482859,0.0851198342906522,0.0877230782697105,0.0877230782697105,0.402604146681504,0.379925303454715,"Reliable testing capacity",8576,0,2159067,397.208609089019,0,0,100,1873,86.8,26793,16,0.06,0.741,"Lesotho","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Liberia","LBR","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",2764.4128113879,0.0458004348323607,139824,2021-09-26,TRUE,100,88079,4727,93168.27,4618.97,81576,4613,4116,0.0445564961274609,0.0536677301059276,0.0565484946552908,0.0504560164754339,0.0477090408792256,0.060179529399267,"Reliable testing capacity",605,0,5180208,11.6790677131111,0,0,100,176,3.4,4604,77,1.67,1.486,"Liberia","Reliable testing capacity","1-499 sequences","Connect","Low income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Libya","LBY","Eastern Mediterranean",0,"No NGS facilities",1,"0 NGS facilities or equivalent",29300.0145539223,0.194185487412105,2008489,2022-01-03,TRUE,1,1456727,288960,1451062.75,287190.72,1456167,288520,288520,0.186109607707517,0.198362493452788,0.198136614825085,0.198136614825085,0.580851823127977,0.580628530073786,"Unreliable testing capacity",47003,0,6958538,675.472347783399,0,0,100,4057,58.3,288960,46,0.02,0.661,"Libya","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Insufficient sequencing capacity","Test","Test","Test"
"Liechtenstein","LIE","Europe",0,"No NGS facilities",1,"0 NGS facilities or equivalent",0,Inf,0,NaN,NaN,NaN,0,4047,0,3885.59,0,3970,0,NaN,Inf,Inf,NaN,NaN,NaN,"Insufficient data",2786,393,38254,7282.89852041617,14.1062455132807,1027.34354577299,0.759374911762889,289,755.5,4047,468,11.56,1223.401,"Liechtenstein","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Lithuania","LTU","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",255449.595885378,0.0757108312583108,6953338,2022-01-04,TRUE,0,5296090,376864,5265211.17,370928.55,5274473,377313,377313,0.0703412255910099,0.0711589115743879,0.0715356775928135,0.0715356775928135,5.33057884512798,5.30882107233803,"Reliable testing capacity",183616,5779,2689862,6826.22379884172,3.14732920878355,214.84373547788,0.051824812946244,12613,468.9,376864,25803,6.85,959.269,"Lithuania","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Luxembourg","LUX","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",609245.047923323,0.027854879316936,3789192,2021-12-29,TRUE,6,2203657,59249,2158018.73,56890.11,2133425,57366,55015,0.0310799803108581,0.0268866706570033,0.0268891571065306,0.0257871732074012,9.6444352050418,9.41443965897658,"Reliable testing capacity",27454,5494,634814,4324.73133862832,20.0116558607125,865.450352386683,0.0545124804398278,6032,950.2,59249,17383,29.34,2738.282,"Luxembourg","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Macao SAR, China","MAC","Western Pacific",0,"No NGS facilities",1,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",4,0,658391,0.607541719130426,0,0,100,1,0.2,33,0,0,0,"Macao SAR, China","High Income*","0 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Madagascar","MDG","Africa",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",1195.74952150518,0.158355858236564,320884,2021-12-29,TRUE,6,220579,34667,220738.6,32827.41,225940,32854,32854,0.110012097086667,0.15716364658467,0.145410285916615,0.145410285916615,0.0218239148964378,0.0223543280715805,"Reliable testing capacity",8824,0,28427333,31.0405481935291,0,0,100,2844,10,34667,421,1.21,1.481,"Madagascar","Reliable testing capacity","500+ sequences","Strengthen","Low income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Malawi","MWI","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",2567.68426555149,0.156354463983974,489407,2022-01-03,TRUE,1,402265,69866,397097.14,68324.39,398639,68709,68709,0.113960793769467,0.173681528345742,0.172358951331907,0.172358951331907,0.0576108672457375,0.0570915652815273,"Unreliable testing capacity",15162,35,19647681,77.1694125123469,0.23084025854109,0.178138071358141,8.20316358566704,4666,23.7,69866,783,1.12,3.985,"Malawi","Reliable testing capacity","500+ sequences","Leverage","Low income","Sufficient sequencing capacity","Test","Test","Test"
"Malaysia","MYS","Western Pacific",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",41780.139652722,0.204834439632732,13522560,2021-06-16,FALSE,202,11121517,2649068,11121516.99,2639539.62,9301581,2645906,558779,0.0603343671656313,0.238193045067503,0.284457663702547,0.0600735509372009,0.941417215258021,1.73124947419909,"Insufficient data",466049,1834,32776195,1421.91306831071,0.393520852957522,5.59552443473075,0.163210846674466,23053,70.3,2649068,7020,0.26,21.418,"Malaysia","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Maldives","MDV","South-East Asia",0,"No NGS facilities",0,"0 NGS facilities or equivalent",309129.574861368,0.0577149721566308,1672391,2021-11-09,TRUE,56,1672391,82629,1369872.11,82019.33,1589773,82122,74977,0.056309474022864,0.0494077042988153,0.0516564314527923,0.0471620791144396,8.61085166744757,9.69829127090158,"Reliable testing capacity",11244,460,543620,2068.35657260586,4.09107079331199,84.6179316434274,0.649130134682085,1300,239.1,82629,896,1.08,164.821,"Maldives","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Mali","MLI","Africa",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",2675.93699076589,0.0413043638725678,539773,2022-01-03,TRUE,1,394691,15123,391461.31,14021.31,393122,14196,14196,0.0330697373414199,0.03831604977058,0.0361109273965843,0.0361109273965843,0.0533971263384254,0.0531848587893174,"Reliable testing capacity",7015,0,20855724,33.6358498031524,0,0,100,2096,10,15123,46,0.3,0.221,"Mali","Reliable testing capacity","1-499 sequences","Leverage","Low income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Malta","MLT","Europe",0,"No NGS facilities",1,"0 NGS facilities or equivalent",274085.067873303,0.0463978881610228,1211456,2021-09-06,TRUE,120,741603,42979,732577.77,39898.57,695079,40298,23626,0.0295113018357243,0.0579541884269616,0.0579761437189154,0.0339903809495036,4.59680778528482,6.34103598014888,"Reliable testing capacity",18945,311,516100,3670.80023251308,1.64159408814991,60.2596396047278,0.958633496663686,7829,1517,42979,619,1.44,119.938,"Malta","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Marshall Islands","MHL","Western Pacific",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",0,0,59618,0,NaN,0,100,0,0,0,0,NaN,0,"Marshall Islands","Unreliable testing capacity","0 sequences","Test","Upper middle income",NaN,"Insufficient Data","Insufficient Data","Insufficient Data"
"Mauritania","MRT","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",15417.8279569892,0.0606712798617436,712784,2022-01-03,TRUE,1,564413,28622,568214.03,27074,562834,27458,27458,0.0425183689385571,0.0507110927636323,0.0487852546221444,0.0487852546221444,0.332545588451908,0.331615259979378,"Reliable testing capacity",7226,0,4775110,151.326356879737,0,0,100,2760,57.8,28622,0,0,0,"Mauritania","Reliable testing capacity","0 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Mauritius","MUS","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",28272.5628930818,0.19092281725232,359627,2021-09-01,TRUE,125,58282,68276,58282,68165.91,42598,69535,10351,6.35461281403936,1.17147661370578,1.6323536316259,0.242992628761914,0.125532006547773,0.137814788932888,"Unreliable testing capacity",7519,187,1273428,590.453484610045,2.48703285011305,14.684772126889,1.58923216330368,394,30.9,23071,511,2.21,40.128,"Mauritius","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Test","High Income*"
"Mexico","MEX","Americas",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",9636.9269310417,0.32262295778596,12425179,2022-01-04,TRUE,0,9038984,2553429,8938827.21,2522110.81,8756751,2550440,2550440,0.262060389454206,0.282490709132796,0.291254142089914,0.291254142089914,0.192071383788692,0.18607415192493,"Unreliable testing capacity",316724,7346,130262220,243.143407198188,2.31936954572435,5.63939413899134,0.0407721415728757,56702,43.5,2553429,40258,1.58,30.905,"Mexico","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Sufficient sequencing capacity","Test","Test","Test"
"Micronesia","FSM","Western Pacific",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",0,0,116255,0,NaN,0,100,0,0,1,0,0,NaN,"Micronesia","Unreliable testing capacity","0 sequences","Test","Lower middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Moldova","MDA","Europe",0,"No NGS facilities",0,"0 NGS facilities or equivalent",29214.9479424888,0.320310623988677,1178531,2021-06-13,FALSE,205,645693,231187,634959.16,229778.34,621054,231440,110855,0.18507652294502,0.358044767404943,0.372656806010427,0.178494945689103,0.4385279915241,0.944508487670749,"Insufficient data",76065,57,4024025,1890.27155646399,0.0749359100769079,1.41649219376122,5.11994836770392,2431,60.4,231187,146,0.06,3.628,"Moldova","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Monaco","MCO","Europe",0,"No NGS facilities",1,"0 NGS facilities or equivalent",0,Inf,0,NaN,NaN,NaN,0,4068,0,4048.81,0,4106,0,NaN,Inf,Inf,NaN,NaN,NaN,"Insufficient data",1658,7,39520,4195.34412955466,0.422195416164053,17.7125506072875,34.8163655131161,96,242.9,4068,85,2.09,215.081,"Monaco","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Mongolia","MNG","Western Pacific",0,"No NGS facilities",1,"0 NGS facilities or equivalent",0,Inf,0,NaN,NaN,NaN,0,389779,0,388577.39,0,388635,0,NaN,Inf,Inf,NaN,NaN,NaN,"Insufficient data",71840,0,3329282,2157.82261760944,0,0,100,2332,70,389779,246,0.06,7.389,"Mongolia","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Montenegro","MNE","Europe",0,"No NGS facilities",0,"0 NGS facilities or equivalent",69922.6114649682,0.404120570056978,439114,2021-06-21,FALSE,197,414644,127825,414644.02,122016.63,202755,123220,51553,0.247324057218781,0.30827649742912,0.607728539370176,0.254262533599665,1.80893464793648,1.88806011844899,"Insufficient data",43688,211,628051,6956.12299001196,0.482970151986816,33.5959977772506,1.40974700648079,12381,1971.3,127825,470,0.37,74.835,"Montenegro","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Sufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Morocco","MAR","Eastern Mediterranean",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",26878.120343529,0.0979702313772738,9899598,2022-01-03,TRUE,1,5412614,528159,5384994.84,520544.4,5401803,524754,524754,0.0672477974820955,0.0975792842423273,0.0971442312872202,0.0971442312872202,0.401752308310661,0.400949859770058,"Reliable testing capacity",34998,110,37344787,93.7158913237342,0.314303674495685,0.29455249001688,2.68664300062678,14367,38.5,528159,333,0.06,0.892,"Morocco","Reliable testing capacity","1-499 sequences","Leverage","Lower middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Mozambique","MOZ","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",3556.53815389538,0.176634316784155,1104929,2022-01-03,TRUE,1,830183,176899,810416.38,170124.46,820389,170682,170682,0.147596026718432,0.213084344054263,0.208050083557922,0.208050083557922,0.0727715236794989,0.0719130089870552,"Unreliable testing capacity",45472,22,32163045,141.379648599814,0.0483814215341309,0.0684014837525489,12.7305431654839,20698,64.4,176883,771,0.44,2.397,"Mozambique","Reliable testing capacity","500+ sequences","Leverage","Low income","Insufficient sequencing capacity","Test","Test","Test"
"Myanmar","MMR","South-East Asia",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",11183.2806469399,0.0873154403998276,5937389,2021-12-21,TRUE,14,4298232,404364,4255165.72,403958.23,4225661,405814,405814,0.0817166853317862,0.0940768204229088,0.0960356261422769,0.0960356261422769,0.216430400334346,0.212776207032853,"Reliable testing capacity",58274,16,54806014,106.327747170228,0.0274564986100148,0.0291938764238538,17.0749722982481,1299,2.4,404364,46,0.01,0.084,"Myanmar","Reliable testing capacity","1-499 sequences","Leverage","Lower middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Namibia","NAM","Africa",0,"No NGS facilities",0,"0 NGS facilities or equivalent",34464.8957103503,0.171446743545269,874033,2022-01-03,TRUE,1,662214,124759,656515.51,123003.95,659269,124251,124251,0.152494771876085,0.188396802242176,0.188467833312351,0.188467833312351,0.714004302049134,0.710828980069329,"Unreliable testing capacity",22189,0,2587344,857.59759815471,0,0,100,3686,142.5,124759,127,0.1,4.909,"Namibia","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Insufficient sequencing capacity","Test","Test","Test"
"Nauru","NRU","Western Pacific",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",0,0,-Inf,0,NaN,0,100,0,0,0,0,NaN,NaN,"Nauru","High Income*","0 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Nepal","NPL","South-East Asia",1,"1 or more NGS facilities",0,"1-3 NGS facilities or equivalent",16775.2960153756,0.169734634145543,4887818,2022-01-04,TRUE,0,2945116,567370,2930476.72,566445.44,2932123,567788,567788,0.140920966738117,0.1926477598845,0.193643991060402,0.193643991060402,0.276926621097028,0.275704900937987,"Unreliable testing capacity",30017,227,29674920,101.152757951833,0.756238131725356,0.764955726923611,1.31103591088902,1869,6.3,567370,870,0.15,2.932,"Nepal","Reliable testing capacity","1-499 sequences","Leverage","Lower middle income","Insufficient sequencing capacity","Test","Test","Test"
"Netherlands","NLD","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",149262.772103881,0.127264802994787,25576176,2022-01-04,TRUE,0,19695442,2415631,19288062.98,2361297.17,19288065,2384960,2384960,0.117465161127969,0.122649240367391,0.123649521089855,0.123649521089855,3.14911672416067,3.08398095702539,"Reliable testing capacity",1186763,19141,17173094,6910.59514377549,1.61287468517303,111.459239668752,0.0156496413811213,114043,664.1,2375352,79860,3.36,465.03,"Netherlands","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"New Caledonia","NCL","Europe",0,"No NGS facilities",0,"0 NGS facilities or equivalent",14874.0350877193,-Inf,42391,2021-09-07,TRUE,119,23167,0,23315.84,0,23414,0,0,NaN,0,0,0,0.222706080269166,0.329937293031776,"Insufficient data",4334,0,288217,1503.72809376269,0,0,100,273,94.7,12950,0,0,0,"New Caledonia","High Income*","0 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"New Zealand","NZL","Western Pacific",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",116489.153878059,0.00256484343274928,5901701,2022-01-04,TRUE,0,4202685,12224,4172308.77,12055.24,4175420,12075,12075,0.00178271125628563,0.00290861675333745,0.0028919246447064,0.0028919246447064,2.38784850258234,2.37235728936439,"Reliable testing capacity",9925,2677,5122600,193.749267949869,26.9722921914358,52.2586186702065,0.111843731479966,419,8.2,12219,4412,36.11,86.128,"New Zealand","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Nicaragua","NIC","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",0,Inf,0,NaN,NaN,NaN,0,11480,0,11424.8,0,11451,0,NaN,Inf,Inf,NaN,NaN,NaN,"Insufficient data",2392,0,6702379,35.688820342747,0,0,100,39,0.6,11480,0,0,0,"Nicaragua","Unreliable testing capacity","0 sequences","Test","Lower middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Niger","NER","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",846.01974635436,0.0370612707279439,204343,2022-01-03,TRUE,1,141104,4125,140859.18,3915.31,141182,4072,4072,0.0310972782765976,0.029233756661753,0.0288422036803559,0.0288422036803559,0.0159700211248756,0.0159788490932375,"Reliable testing capacity",1525,0,25130810,6.06824849656657,0,0,100,283,1.1,4125,80,1.94,0.318,"Niger","Reliable testing capacity","1-499 sequences","Connect","Low income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Nigeria","NGA","Africa",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",1878.16289900068,0.0631638489582593,3823309,2021-12-29,TRUE,6,2867880,153197,2875100.21,150806.67,2901861,154119,154119,0.0489197667113199,0.0534182043879102,0.0531104005326237,0.0531104005326237,0.0381158701826528,0.0385674983486419,"Reliable testing capacity",37987,246,211400704,17.969192761061,0.647589964988022,0.116366689109985,1.21039244625177,5529,2.6,153197,3317,2.17,1.569,"Nigeria","Reliable testing capacity","500+ sequences","Strengthen","Lower middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"North Korea","PRK","South-East Asia",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"North Korea","Unreliable testing capacity","0 sequences","Test","Low income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"North Macedonia","MKD","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",76868.9870379261,0.141875278310197,1511884,2021-12-17,TRUE,18,1131017,143039,1127602.85,140975.5,1190487,141985,141985,0.119352018070642,0.126469363413636,0.119266317061841,0.119266317061841,1.48760283837195,1.56582247680177,"Reliable testing capacity",33710,49,2082661,1618.60235535212,0.145357460694156,2.35275928247564,5.93060141896971,3429,164.6,143039,556,0.39,26.697,"North Macedonia","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Northern Mariana Islands","MNP","Western Pacific",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Northern Mariana Islands","High Income*","1-499 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
