"","geometry","country","code","region","ngs_capacity","who_testing_capacity","sequencing_capacity","max_new_tests_cap_avg","cap_cum_tests","cum_tpr","tests_in_last_90_days","tests_in_last_7_days","tests_in_last_year","avg_test_per_1000_last_year","dx_testing_capacity","cases_in_last_90_days","sequences_in_last_90_days","population_size","percent_of_recent_cases_sequenced","per_capita_seq_rate","max_prevalence_variant_pct","max_new_seq_cap_avg","total_sequences","cases_in_last_7_days","cases_in_last_year","sequences_in_last_year","tpr_90_days","tpr_7_days","cases_in_the_last_7_days_per_100k","test_in_the_last_7_days_per_100k","tpr_year","reporting_lag_diff","world_bank_economies","sars_cov_2_sequencing","archetype_full","archetype","label","dx_testing_capacity_clean","sequencing_capacity_clean","sars_cov_2_sequencing_clean","archetype_clean","old_archetype","old_max_new_tests_cap_avg","old_dx_testing_capacity"
"105",NA,"Jordan","JOR","Eastern Mediterranean",2,"1 - Reliable","4+ NGS facilities or equivalent",420.65,1226.24973047143,0.0807288473751913,2494674,195632,9756564,2.61984831214026,"Reliable testing capacity",200590,277,10269022,0.138092626751084,2.69743311485748,1.07566469843203,NA,1195,28266,750419,654,0.080407299711305,0.144485564733786,275.255034023688,1905.06944088736,0.0769142702287404,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",420.65,"Reliable testing capacity"
"106",NA,"Kazakhstan","KAZ","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",277.26,600.522873728498,0.0943072279593736,0,0,6451497,0.94132897942032,"Reliable testing capacity",141970,0,18994958,0,0,100,NA,541,4101,877133,446,NA,Inf,21.589939814555,0,0.135958057486503,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","3 - Leverage",277.26,"Reliable testing capacity"
"107",NA,"Kenya","KEN","Africa",1,"1 - Reliable","1-3 NGS facilities or equivalent",14.77,53.7392460620037,0.0887091108740167,430729,27521,1923211,0.0979909474043018,"Reliable testing capacity",11955,222,54985702,1.85696361355082,0.403741321698503,1.34036497601341,NA,5260,866,164443,3463,0.0277552707154615,0.0314668798372152,1.57495488554461,50.0511933083986,0.0855043986333273,0,"Lower middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",14.77,"Reliable testing capacity"
"108",NA,"Kiribati","KIR","Western Pacific",0,"1 - Reliable","0 NGS facilities or equivalent",0,0,NA,0,0,0,0,"Reliable testing capacity",0,0,121388,NA,0,100,NA,0,0,2,0,NA,NA,0,0,NA,0,"Lower middle income","0 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect","2 - Connect",NA,"Reliable testing capacity"
"109",NA,"Kosovo","XKX","Europe",0,"0 - Unreliable","0 NGS facilities or equivalent",508.64,529.885555555556,NA,0,0,795154,1.2102800608828,"Reliable testing capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upper middle income","0 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect","3 - Leverage",508.64,"Reliable testing capacity"
"110",NA,"Kuwait","KWT","Eastern Mediterranean",1,"1 - Reliable","1-3 NGS facilities or equivalent",1014.75,1277.59072816671,0.0758185973291011,1524198,63952,5136303,3.29479349419308,"Reliable testing capacity",2810,86,4328553,3.06049822064057,1.98680713855184,3.42343728491202,NA,380,187,267493,345,0.00184359249913725,0.00292406805103828,4.32015040592087,1477.44523400776,0.0520788979933621,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Leverage","0 - High Income*",1014.75,"Reliable testing capacity"
"111",NA,"Kyrgyzstan","KGZ","Europe",0,"0 - Unreliable","0 NGS facilities or equivalent",343.93,467.902053954629,0.060265158178637,0,0,2516072,1.05661372550666,"Reliable testing capacity",6657,0,6628347,0,0,100,NA,14,316,106609,0,NA,Inf,4.76740279288335,0,0.042371204003701,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",343.93,"Reliable testing capacity"
"112",NA,"Laos","LAO","Western Pacific",0,"1 - Reliable","0 NGS facilities or equivalent",37.1,41.9204233095107,0.292839977312442,0,0,221231,0.0833029588739862,"Reliable testing capacity",71638,0,7379358,0,0,100,NA,23,8598,89279,17,NA,Inf,116.514200828853,0,0.403555559573477,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",37.1,"Reliable testing capacity"
"113",NA,"Latvia","LVA","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",907.58,1928.82926829268,0.0720067118005197,0,0,2941409,4.27288165138947,"Reliable testing capacity",114156,0,1866934,0,0,100,NA,6046,4385,236269,5391,NA,Inf,234.877076532968,0,0.0803251094968432,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",907.58,"Reliable testing capacity"
"114",NA,"Lebanon","LBN","Eastern Mediterranean",2,"1 - Reliable","4+ NGS facilities or equivalent",283.49,693.241904761905,0.145846366891999,0,0,2987980,1.19945004766923,"Reliable testing capacity",75366,0,6769151,0,0,100,NA,1080,10429,543534,1037,NA,Inf,154.066588261955,0,0.181906840072557,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",283.49,"Reliable testing capacity"
"115",NA,"Lesotho","LSO","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",100.82,101.356676003735,0.106408850976021,27381,0,188347,0.240905311896448,"Reliable testing capacity",8707,0,2159067,0,0,100,NA,23,1264,20852,20,0.317994229575253,Inf,58.5438061903591,0,0.110710550207861,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",100.82,"Reliable testing capacity"
"116",NA,"Liberia","LBR","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",21.09,27.644128113879,0.0423031811420071,2520,0,83754,0.0453663530444109,"Reliable testing capacity",108,0,5180208,0,0,100,NA,77,6,4159,77,0.0428571428571429,Inf,0.115825464923416,0,0.0496573297991738,0,"Low income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",21.09,"Reliable testing capacity"
"117",NA,"Libya","LBY","Eastern Mediterranean",0,"1 - Reliable","0 NGS facilities or equivalent",118.1,281.258768738175,0.195652950098032,358216,32399,1450380,0.578321035601286,"Reliable testing capacity",51735,0,6958538,0,0,100,NA,22,2637,287326,12,0.144424034660652,0.0813914009691657,37.895891349591,465.600676463935,0.198103945172989,0,"Upper middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",118.1,"Reliable testing capacity"
"118",NA,"Liechtenstein","LIE","Europe",0,"1 - Reliable","0 NGS facilities or equivalent",0,0,NA,0,0,0,0,"Reliable testing capacity",1824,83,38254,4.55043859649123,216.970774298113,3.54495681458851,NA,205,386,3752,197,NA,Inf,1009.04480577195,0,NA,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",NA,"Reliable testing capacity"
"119",NA,"Lithuania","LTU","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",742.86,2331.659808964,0.0773813106429751,1484206,0,4945799,4.97800670337081,"Reliable testing capacity",181267,4388,2689862,2.42073846866777,163.131045384484,0.0682477187276209,NA,24192,10812,397867,23658,0.122130620682035,Inf,401.953706175261,0,0.0804454447097425,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",742.86,"Reliable testing capacity"
"120",NA,"Luxembourg","LUX","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",1694.61,5948.67891373802,0.0250892014845834,309889,15604,2243034,9.81677097465972,"Reliable testing capacity",16535,4307,634814,26.0477774417901,678.466448440015,0.0695307795407274,NA,18633,1720,52674,15668,0.053357815217707,0.110228146629069,270.945505297615,2458.04282829301,0.0234833711838519,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",1694.61,"Reliable testing capacity"
"121",NA,"Macao SAR, China","MAC","Western Pacific",0,"1 - Reliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Reliable testing capacity",0,0,658391,NA,0,100,NA,0,0,0,0,NA,NA,0,NA,NA,0,"High income","0 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",NA,"Reliable testing capacity"
"122",NA,"Madagascar","MDG","Africa",1,"1 - Reliable","1-3 NGS facilities or equivalent",4.55,8.50406269184934,0.194465913047909,0,0,139373,0.0137894563438098,"Reliable testing capacity",2896,0,28427333,0,0,100,NA,722,994,28207,377,NA,Inf,3.49663473530915,0,0.202384966959167,0,"Low income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",4.55,"Reliable testing capacity"
"123",NA,"Malawi","MWI","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",13.13,23.5580763199164,0.138162186630454,53668,4839,371542,0.0532108357381721,"Reliable testing capacity",1094,8,19647681,0.731261425959781,0.0407172734532895,31.2343978066368,NA,792,268,56199,776,0.0203845867183424,0.0553833436660467,1.3640286606852,24.6288607800585,0.15125880788713,0,"Low income","500+ sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage","3 - Leverage",13.13,"Reliable testing capacity"
"124",NA,"Malaysia","MYS","Western Pacific",1,"1 - Reliable","1-3 NGS facilities or equivalent",284.15,417.80139652722,0.19904803528326,0,0,10154323,0.859545912800427,"Reliable testing capacity",680199,2179,32776195,0.320347427738059,6.64811763537531,0.137387513583109,NA,6712,28605,2608164,6250,NA,Inf,87.2737058099636,0,0.256852574021922,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",284.15,"Reliable testing capacity"
"125",NA,"Maldives","MDV","South-East Asia",0,"0 - Unreliable","0 NGS facilities or equivalent",2230.04,3091.29574861368,0.0556801609193065,233874,0,1589773,8.05091028789912,"Reliable testing capacity",10049,459,543620,4.56761866852423,84.4339796181156,0.650539751504275,NA,722,751,79751,707,0.0429675808341244,Inf,138.147971009161,0,0.0501650235599674,0,"Upper middle income","500+ sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage","2 - Connect",2230.04,"Reliable testing capacity"
"126",NA,"Mali","MLI","Africa",1,"1 - Reliable","1-3 NGS facilities or equivalent",7.03,25.2532714433855,0.036352863880611,106288,9643,395627,0.0535237563103598,"Reliable testing capacity",3600,0,20855724,0,0,100,NA,72,620,12777,47,0.0338702393496914,0.0642953437726849,2.97280497191083,46.2367070066712,0.0322955713336046,0,"Low income","1-499 sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage","3 - Leverage",7.03,"Reliable testing capacity"
"127",NA,"Malta","MLT","Europe",0,"1 - Reliable","0 NGS facilities or equivalent",866.54,2740.85067873303,0.0334688176871467,0,0,755459,4.6826938573111,"Reliable testing capacity",3703,109,516100,2.94355927626249,21.1199379965123,2.71095395543399,NA,475,531,29393,465,NA,Inf,102.887037395854,0,0.0389074721460728,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",866.54,"Reliable testing capacity"
"128",NA,"Marshall Islands","MHL","Western Pacific",0,"0 - Unreliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,0,59618,NA,0,100,NA,0,0,0,0,NA,NA,0,NA,NA,0,"Upper middle income","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"129",NA,"Mauritania","MRT","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",53.81,144.979569892473,0.0590457684063754,154601,12803,553687,0.326225953748711,"Reliable testing capacity",4764,0,4775110,0,0,100,NA,0,222,28835,0,0.0308148071487248,0.0173396860110911,4.64910755982585,268.119477875902,0.0520781596822754,0,"Lower middle income","0 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect","2 - Connect",53.81,"Reliable testing capacity"
"130",NA,"Mauritius","MUS","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",391.38,282.725628930818,0.0624563784143015,0,0,52146,0.112315843887309,"Reliable testing capacity",8679,62,1273428,0.714368014748243,4.86874797789903,4.71695113753569,NA,386,305,21946,375,NA,Inf,23.9510989235355,0,0.420856825068078,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",391.38,"Reliable testing capacity"
"131",NA,"Mexico","MEX","Americas",2,"1 - Reliable","4+ NGS facilities or equivalent",33.81,93.6132177177294,0.324558011697428,1889728,118502,8936243,0.189888217401647,"Reliable testing capacity",388389,7702,130262220,1.98306337203165,5.91268903600752,0.0388879478887438,NA,39368,15346,2667317,36230,0.205526403799912,0.129499924051915,11.7808524989057,90.971887320821,0.298483042594074,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",33.81,"Reliable testing capacity"
"132",NA,"Micronesia","FSM","Western Pacific",0,"0 - Unreliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower middle income","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"133",NA,"Moldova","MDA","Europe",0,"0 - Unreliable","0 NGS facilities or equivalent",479.35,292.149479424888,0.313660820122678,0,0,1122235,0.762175616845851,"Reliable testing capacity",92958,0,4024025,0,0,100,NA,67,2908,243141,50,NA,Inf,72.2659526220637,0,0.216657830133617,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",479.35,"Reliable testing capacity"
"134",NA,"Monaco","MCO","Europe",0,"1 - Reliable","0 NGS facilities or equivalent",0,0,NA,0,0,0,0,"Reliable testing capacity",809,6,39520,0.741656365883807,15.1821862348178,39.3037768997083,NA,84,191,3425,84,NA,Inf,483.2995951417,0,NA,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",NA,"Reliable testing capacity"
"135",NA,"Mongolia","MNG","Western Pacific",0,"1 - Reliable","0 NGS facilities or equivalent",0,0,NA,0,0,0,0,"Reliable testing capacity",124738,1,3329282,0.000801680321954817,0.0300365063698419,95,NA,108,1765,384535,94,NA,Inf,53.014433742771,0,NA,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",NA,"Reliable testing capacity"
"136",NA,"Montenegro","MNE","Europe",0,"0 - Unreliable","0 NGS facilities or equivalent",288.77,699.226114649682,0.363887282118083,0,0,229705,1.00211587121543,"Reliable testing capacity",36659,88,628051,0.240050192312938,14.0116009687111,3.34694889166375,NA,348,1165,118362,336,NA,Inf,185.494490097142,0,0.515278291721991,0,"Upper middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",288.77,"Reliable testing capacity"
"137",NA,"Montserrat","MSR","",NA,"NaN","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,5,4981,NA,100.381449508131,45.0719728346941,NA,10,0,0,10,NA,NA,0,NA,NA,0,"NaN","1-499 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"138",NA,"Morocco","MAR","Eastern Mediterranean",2,"1 - Reliable","4+ NGS facilities or equivalent",101.76,260.505729999187,0.0989526627089706,1193621,74544,5468632,0.405910255063735,"Reliable testing capacity",43133,46,37344787,0.106646882897086,0.123176495825241,6.30493016740544,NA,548,839,551873,366,0.0361362610074722,0.0112550976604422,2.24663217385602,199.610189234712,0.100916097481052,0,"Lower middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","3 - Leverage",101.76,"Reliable testing capacity"
"139",NA,"Mozambique","MOZ","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",15.68,32.1127819548872,0.153109790422294,120615,13744,753170,0.0660207791410908,"Reliable testing capacity",4194,15,32163045,0.357653791130186,0.0466373752858288,18.1036272522085,NA,908,1674,136720,792,0.0347717945529163,0.121798603026775,5.2047310818985,42.7322723952287,0.181526083088811,0,"Low income","500+ sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage","3 - Leverage",15.68,"Reliable testing capacity"
"140",NA,"Myanmar","MMR","South-East Asia",1,"1 - Reliable","1-3 NGS facilities or equivalent",45.82,106.488255835324,0.0908972448518526,1834017,120211,4390947,0.221098911612239,"Reliable testing capacity",90134,16,54806014,0.0177513479929882,0.0291938764238538,17.0749722982481,NA,105,2023,418319,64,0.0491456731317103,0.0168287427939207,3.69120075034101,219.339067424243,0.0952685149695499,0,"Lower middle income","1-499 sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage","3 - Leverage",45.82,"Reliable testing capacity"
"141",NA,"Namibia","NAM","Africa",0,"0 - Unreliable","0 NGS facilities or equivalent",141.67,321.439590712318,0.162650071378024,132436,13983,638749,0.688704155951977,"Reliable testing capacity",6419,0,2587344,0,0,100,NA,389,3053,116313,360,0.0484686943127246,0.218336551526854,117.997452213544,540.438380053058,0.182095001322898,0,"Upper middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",141.67,"Reliable testing capacity"
"142",NA,"Nauru","NRU","Western Pacific",0,"0 - Unreliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,0,10873,NA,0,100,NA,0,0,0,0,NA,NA,0,NA,NA,0,"High income","0 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test","0 - High Income*",NA,"Unreliable testing capacity"
"143",NA,"Nepal","NPL","South-East Asia",1,"0 - Unreliable","1-3 NGS facilities or equivalent",65.19,162.171603116313,0.174431356680805,685915,54233,2891333,0.27186945375202,"Reliable testing capacity",44730,80,29674920,0.178850883076235,0.26958792138277,3.67541977799823,NA,364,1392,575799,346,0.0652121618567898,0.025667029299504,4.6908298320602,182.757021754397,0.199146552818371,0,"Lower middle income","1-499 sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage","3 - Leverage",65.19,"Reliable testing capacity"
"144",NA,"Netherlands","NLD","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",474.07,859.176247446746,0.198504345711533,0,0,10041459,1.60553525388634,"Reliable testing capacity",910807,14048,17173094,1.54236847103722,81.8023822614609,0.0213226998626248,NA,77818,107857,2298811,71983,NA,Inf,628.058054069931,0,0.228931970941673,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",474.07,"Reliable testing capacity"
"145",NA,"New Caledonia","NCL","Europe",0,"0 - Unreliable","0 NGS facilities or equivalent",67.7,140.621052631579,NA,0,0,21918,0.21069935111752,"Reliable testing capacity",0,0,288217,NA,0,100,NA,0,0,0,0,NA,NA,0,0,0,0,"High income","0 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",67.7,"Reliable testing capacity"
"146",NA,"New Zealand","NZL","Western Pacific",2,"1 - Reliable","4+ NGS facilities or equivalent",584.78,1092.37308170883,0.002465721852982,2069463,191770,3867447,2.19737561291569,"Reliable testing capacity",9006,2084,5122600,23.1401288030202,40.6824659352672,0.143645879802001,NA,4511,558,10892,3701,0.00435185359680265,0.00290973562079574,10.8929059461992,3743.60676219107,0.00281632818756146,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",426.86,"Reliable testing capacity"
"147",NA,"Nicaragua","NIC","Americas",0,"0 - Unreliable","0 NGS facilities or equivalent",0,0,NA,0,0,0,0,"Unreliable testing capacity",4303,0,6702379,0,0,100,NA,0,74,11441,0,NA,Inf,1.10408557916525,0,NA,0,"Lower middle income","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"148",NA,"Niger","NER","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",2.52,8.08493410996819,0.0365537115761936,45291,3875,143014,0.016186193170661,"Reliable testing capacity",1222,0,25130810,0,0,100,NA,42,63,4896,26,0.0269810779183502,0.016258064516129,0.250688298546684,15.4193199502921,0.0342344106171424,0,"Low income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",2.52,"Reliable testing capacity"
"149",NA,"Nigeria","NGA","Africa",2,"1 - Reliable","4+ NGS facilities or equivalent",52.77,29.3023236635296,0.0360045169336173,3122895,0,5216753,0.069333821541684,"Reliable testing capacity",17424,203,211400704,1.16505968778696,0.096026170281817,1.46489465268922,NA,3655,2692,144306,3330,0.00557943830964538,Inf,1.27341108570764,0,0.0276620342193698,0,"Lower middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",52.77,"Reliable testing capacity"
"150",NA,"Niue","NIU","",NA,"NaN","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,0,1614,NA,0,100,NA,0,0,0,0,NA,NA,0,NA,NA,0,"NaN","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"151",NA,"Norfolk Island","NFK","",NA,"NaN","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"152",NA,"North Korea","PRK","South-East Asia",0,"0 - Unreliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low income","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"153",NA,"North Macedonia","MKD","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",280.8,707.384541526644,0.148904431815251,261102,0,1116206,1.46812224202448,"Reliable testing capacity",35131,48,2082661,0.136631465087814,2.30474378691491,6.05034093488943,NA,750,2008,145770,597,0.134548950218688,Inf,96.4151150859405,0,0.130594173476939,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",280.8,"Reliable testing capacity"
"154",NA,"Northern Mariana Islands","MNP","Western Pacific",0,"0 - Unreliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income","0 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test","0 - High Income*",NA,"Unreliable testing capacity"
"155",NA,"Norway","NOR","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",481.11,1644.10828260469,0.0356659157915027,1299441,171187,6399662,3.23433324994378,"Reliable testing capacity",139399,7614,5465629,5.46201909626324,139.306930638724,0.0393373130368357,NA,35564,30757,276877,33408,0.107276128735356,0.179669016923014,562.734865465622,3132.06403142255,0.0432643161466965,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",481.11,"Reliable testing capacity"
"156",NA,"Oman","OMN","Eastern Mediterranean",2,"1 - Reliable","4+ NGS facilities or equivalent",77.59,99.8549050323086,0.597526467814079,0,0,115089,0.0617412039880798,"Reliable testing capacity",1491,19,5223376,1.27431254191818,0.363749421829866,14.5868503312243,NA,883,102,178474,632,NA,Inf,1.95276005403402,0,1.55074768222854,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",77.59,"Reliable testing capacity"
"157",NA,"Pakistan","PAK","Eastern Mediterranean",2,"1 - Reliable","4+ NGS facilities or equivalent",26.12,102.15207884396,0.0571379202012074,4014221,311643,16555534,0.205338479425512,"Reliable testing capacity",76484,177,225199929,0.231420950787093,0.0785968276215575,1.67826172274513,NA,1585,1900,848506,1448,0.0190532608942059,0.00609671964395157,0.843694759779431,138.38503474839,0.0512521069993876,0,"Lower middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",26.12,"Reliable testing capacity"
