"name","World Bank economic status","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","Cumulative number of sequences entire pandemic","NGS facility access","COVID-19 diagnostic testing targets","SARS-CoV-2 sequencing targets","Test Archetype","Sequence Archetype"
"United States of America","High income","April 01, 2022","9.8 %","4.18 per 1,000 persons","5.11 %","760 per 100k persons",3011914,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Uruguay","High income","March 31, 2022","16.9 %","3.68 per 1,000 persons","0.02 %","4.9 per 100k persons",751,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Uzbekistan","Lower middle income","July 14, 2020","Insufficient data","Insufficient data","0.04 %","0.2 per 100k persons",90,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Vanuatu","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",2,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Venezuela","Upper middle income","May 30, 2021","Insufficient data","0.02 per 1,000 persons","0.09 %","1.1 per 100k persons",463,"Has access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Vietnam","Lower middle income","May 08, 2021","0.6 %","0.03 per 1,000 persons","0.04 %","3.5 per 100k persons",3541,"Has access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"U.S. Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","1618.7 per 100k persons",1743,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Yemen","Low income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Zambia","Lower middle income","April 01, 2022","10.8 %","0.32 per 1,000 persons","0.29 %","3.5 per 100k persons",1363,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Zimbabwe","Lower middle income","March 31, 2022","12 %","0.32 per 1,000 persons","0.18 %","2.5 per 100k persons",930,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"British Indian Ocean Territory","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Cook Islands","No income data","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Insufficient data","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Falkland Islands","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient data","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"French Southern and Antarctic Lands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guernsey","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Heard Island and McDonald Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Jersey","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Montserrat","No income data","No tests reported","Insufficient data","Insufficient data","9.03 %","281.1 per 100k persons",18,"Insufficient data","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Niue","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Norfolk Island","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Pitcairn Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Saint Helena","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Saint Pierre and Miquelon","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient data","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saint-Barthélemy","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"South Georgia and the South Sandwich Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Wallis and Futuna","No income data","No tests reported","Insufficient data","Insufficient data","7.14 %","27 per 100k persons",10,"Insufficient data","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Anguilla","No income data","No tests reported","Insufficient data","Insufficient data","2.5 %","443 per 100k persons",70,"Insufficient data","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Vatican City","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient data","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Western Sahara","No income data","October 13, 2021","No cases reported","0.03 per 1,000 persons","Insufficient data","Insufficient data",0,"Insufficient data","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
