,code,name,date_test_data_reported,dx_testing_capacity,facility_access,sequencing_facilities,sars_cov_2_sequencing,TPR_pct,daily_tests_per_1000,pct_seq,seq_per_100k,cases_per_100k,archetype,archetype_description
220,COK,Cook Islands,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0 %,Insufficient Data,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
221,TON,Tonga,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0 %,Insufficient Data,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
222,WLF,Wallis and Futuna,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Sufficient sequencing capacity,Insufficient Data,Insufficient Data,2.22 %,90.1 per 100k persons,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
223,WSM,Samoa,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0 %,0 per 100k persons,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
224,SLB,Solomon Islands,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,Insufficient Data,Insufficient Data,14.29 %,0.1 per 100k persons,0.3 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
225,TUV,Tuvalu,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NaN %,Insufficient Data,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
226,MDV,Maldives,"November 09, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,4.7 %,9.7 per 1000 persons,1.08 %,164.8 per 100k persons,239.1 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
227,NRU,Nauru,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,NaN %,Insufficient Data,0 per 100k persons,High Income*,High Income*
228,FSM,Micronesia,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0 %,Insufficient Data,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
229,SGS,South Georgia and the South Sandwich Islands,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,Insufficient Data,Missing key diagnostic or case metrics
230,FLK,Falkland Islands,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0 %,0 per 100k persons,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
231,VUT,Vanuatu,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,Insufficient Data,Insufficient Data,16.67 %,0.3 per 100k persons,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
232,NIU,Niue,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NaN %,Insufficient Data,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
233,ASM,American Samoa,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,Insufficient Data,Missing key diagnostic or case metrics
234,PLW,Palau,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,25 %,Insufficient Data,0 per 100k persons,High Income*,High Income*
235,GUM,Guam,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,High Income*,High Income*
236,MNP,Northern Mariana Islands,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,High Income*,High Income*
237,BHR,Bahrain,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,3.4 %,9.1 per 1000 persons,1.11 %,121.2 per 100k persons,284 per 100k persons,High Income*,High Income*
238,,,,,,,,,,,,,,
239,MAC,"Macao SAR, China",No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,0 %,0 per 100k persons,0.2 per 100k persons,High Income*,High Income*
240,NLD,Netherlands,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,12.4 %,3.08 per 1000 persons,3.36 %,465 per 100k persons,664.1 per 100k persons,High Income*,High Income*
241,NLD,Netherlands,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,12.4 %,3.08 per 1000 persons,3.36 %,465 per 100k persons,664.1 per 100k persons,High Income*,High Income*
242,NLD,Netherlands,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,12.4 %,3.08 per 1000 persons,3.36 %,465 per 100k persons,664.1 per 100k persons,High Income*,High Income*
243,NLD,Netherlands,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,12.4 %,3.08 per 1000 persons,3.36 %,465 per 100k persons,664.1 per 100k persons,High Income*,High Income*
244,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,
246,UMI,,,,,,,,,,,,,
247,UMI,,,,,,,,,,,,,
248,UMI,,,,,,,,,,,,,
249,UMI,,,,,,,,,,,,,
250,UMI,,,,,,,,,,,,,
251,UMI,,,,,,,,,,,,,
252,UMI,,,,,,,,,,,,,
253,UMI,,,,,,,,,,,,,
254,UMI,,,,,,,,,,,,,
255,NZL,New Zealand,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,0.3 %,2.37 per 1000 persons,36.11 %,86.1 per 100k persons,8.2 per 100k persons,High Income*,High Income*
256,NZL,New Zealand,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,0.3 %,2.37 per 1000 persons,36.11 %,86.1 per 100k persons,8.2 per 100k persons,High Income*,High Income*
257,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,
259,ESH,Western Sahara,"October 13, 2021",Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,0 %,0.02 per 1000 persons,NA %,Insufficient Data,Insufficient Data,Insufficient Data,Missing key diagnostic or case metrics
260,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,
